comprador,departamento,procesos_adjudicados,con_postor_unico,pct_postor_unico,monto_total,supera_minimo
MUNICIPALIDAD PROVINCIAL DE ANDAHUAYLAS,APURIMAC,31,0,0.0,7956189.0,True
MUNICIPALIDAD PROVINCIAL DE HUARAZ,ANCASH,30,0,0.0,13804340.0,True
MUNICIPALIDAD PROVINCIAL DE SANTA - CHIMBOTE,ANCASH,29,0,0.0,26998019.0,True
EMPRESA REGIONAL DE SERVICIO PUBLICO DE ELECTRICIDAD ELECTRO NOR MEDIO SA HIDRANDINA,LA LIBERTAD,28,0,0.0,11688990.0,True
GOBIERNO REGIONAL DE PASCO SEDE CENTRAL,PASCO,28,0,0.0,34074515.0,True
GOBIERNO REGIONAL DE AMAZONAS SEDE CENTRAL,AMAZONAS,27,0,0.0,11735071.0,True
UNIVERSIDAD NACIONAL JOSE MARIA ARGUEDAS,APURIMAC,27,0,0.0,8951191.0,True
GOBIERNO REGIONAL DE APURIMAC-TRANSPORTES CHANKA,APURIMAC,26,0,0.0,8114003.0,True
GOBIERNO REGIONAL DE CUSCO - PROYECTO ESPECIAL PLAN MERISS INKA,CUSCO,26,0,0.0,17250795.0,True
GOBIERNO REGIONAL DE PUNO-PROGRAMA REGIONAL DE RIEGO Y DRENAJE,PUNO,26,0,0.0,5904044.0,True
MUNICIPALIDAD DISTRITAL DE MEGANTONI,CUSCO,26,0,0.0,51248307.0,True
MUNICIPALIDAD PROVINCIAL DE LA CONVENCION - SANTA ANA,CUSCO,26,0,0.0,3237866.0,True
SOCIEDAD ELECTRICA DEL SUR OESTE S.A.,AREQUIPA,26,0,0.0,25410186.0,True
MUNICIPALIDAD DISTRITAL DE CHAVIN DE HUANTAR,ANCASH,25,0,0.0,16538797.0,True
MUNICIPALIDAD PROVINCIAL DE LEONCIO PRADO - RUPA RUPA,HUANUCO,25,0,0.0,37938071.0,True
MUNICIPALIDAD PROVINCIAL DE SAN IGNACIO,CAJAMARCA,25,0,0.0,4097691.0,True
MUNICIPALIDAD PROVINCIAL DE TRUJILLO,LA LIBERTAD,25,0,0.0,42026178.0,True
MUNICIPALIDAD DISTRITAL DE QUELLOUNO,CUSCO,23,0,0.0,3832112.0,True
MUNICIPALIDAD DISTRITAL DE SAN JOSE DE LOURDES,CAJAMARCA,23,0,0.0,23120504.0,True
GOBIERNO REGIONAL DE AREQUIPA - GERENCIA REGIONAL DE TRANSPORTES Y COMUNICACIONES,AREQUIPA,22,0,0.0,12382809.0,True
MUNICIPALIDAD DISTRITAL  DE KUMPIRUSHIATO,CUSCO,22,0,0.0,6772345.0,True
MUNICIPALIDAD DISTRITAL DE PANGOA,JUNIN,22,0,0.0,11032658.0,True
MUNICIPALIDAD DISTRITAL DE TORATA,MOQUEGUA,22,0,0.0,3746191.0,True
MUNICIPALIDAD PROVINCIAL DE CORONEL PORTILLO,UCAYALI,22,0,0.0,18560932.0,True
MUNICIPALIDAD DISTRITAL DE SANTIAGO - CUSCO,CUSCO,21,0,0.0,4130503.0,True
MUNICIPALIDAD PROVINCIAL DE EL COLLAO - ILAVE,PUNO,21,0,0.0,3806501.0,True
MUNICIPALIDAD PROVINCIAL DE SANCHEZ CARRION - HUAMACHUCO,LA LIBERTAD,21,0,0.0,14491573.0,True
MUNICIPALIDAD PROVINCIAL DE SATIPO,JUNIN,21,0,0.0,10590103.0,True
MUNICIPALIDAD DISTRITAL DE COYLLURQUI,APURIMAC,20,0,0.0,12279930.0,True
MUNICIPALIDAD DISTRITAL DE LA MOLINA,LIMA,20,0,0.0,33835809.0,True
MUNICIPALIDAD DISTRITAL DE RIO TAMBO,JUNIN,20,0,0.0,26496556.0,True
MUNICIPALIDAD DISTRITAL DE SAN SEBASTIAN,CUSCO,20,0,0.0,3089046.0,True
GOBIERNO REGIONAL DE APURIMAC-GERENCIA SUBREGIONAL CHINCHEROS,APURIMAC,19,0,0.0,6206054.0,True
MUNICIPALIDAD DISTRITAL DE UNIÓN ASHÁNINKA,CUSCO,19,0,0.0,3790597.0,True
MUNICIPALIDAD DISTRITAL DE VENTANILLA,CALLAO,19,0,0.0,7034160.0,True
MUNICIPALIDAD PROVINCIAL DE ATALAYA - RAYMONDI,UCAYALI,19,0,0.0,18132856.0,True
MUNICIPALIDAD PROVINCIAL DE PIURA,PIURA,19,0,0.0,6335791.0,True
MUNICIPALIDAD PROVINCIAL DE VIRU,LA LIBERTAD,19,0,0.0,19375874.0,True
MUNICIPALIDAD DISTRITAL DE HUACHIS,ANCASH,18,0,0.0,4218649.0,True
MUNICIPALIDAD DISTRITAL DE LLAYLLA,JUNIN,18,0,0.0,18311888.0,True
MUNICIPALIDAD DISTRITAL DE PUENTE PIEDRA,LIMA,18,0,0.0,20543354.0,True
MUNICIPALIDAD PROVINCIAL DE DOS DE MAYO - LA UNION,HUANUCO,18,0,0.0,24497273.0,True
SERVICIO NACIONAL DE AREAS NATURALES PROTEGIDAS POR EL ESTADO - SERNANP,LIMA,18,0,0.0,3129113.0,True
CONGRESO DE LA REPUBLICA,LIMA,17,0,0.0,3795277.0,True
MUNICIPALIDAD DISTRITAL DE ACORA,PUNO,17,0,0.0,1899284.0,True
MUNICIPALIDAD DISTRITAL DE SAN JUAN DE MIRAFLORES,LIMA,17,0,0.0,14793869.0,True
