cod_ipress,nombre,categoria,institucion,departamento,provincia,distrito,lon,lat
00000027,C.S. I-3 AMÉRICA DE SAN JUAN BAUTISTA,I-3,GOBIERNO REGIONAL,LORETO,MAYNAS,SAN JUAN BAUTISTA,-73.29931008,-3.78788195
00003600,CENTRO DE SALUD MIRAFLORES,I-3,GOBIERNO REGIONAL,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,-74.1999012,-13.17579197
00003790,CENTRO DE SALUD SACHARACCAY,I-3,GOBIERNO REGIONAL,AYACUCHO,LA MAR,ANCO,-73.849245,-13.08082167
00003701,CENTRO DE SALUD PAUSA,I-4,GOBIERNO REGIONAL,AYACUCHO,PAUCAR DEL SARA SARA,PAUSA,-73.34357525,-15.28102173
00004323,CRUZ DE LA ESPERANZA,I-3,GOBIERNO REGIONAL,LAMBAYEQUE,CHICLAYO,CHICLAYO,-79.87475667,-6.76895167
00000240,P.S. I-3 SANTA MARIA DE CAHUAPANAS,I-3,GOBIERNO REGIONAL,LORETO,DATEM DEL MARAÑON,CAHUAPANAS,-77.037905,-5.24814667
00029912,POLICLINICO I-3 EL REY EIRL,I-3,PRIVADO,LORETO,DATEM DEL MARAÑON,BARRANCA,-76.55573509,-4.82584928
00004376,CENTRO DE SALUD ILLIMO,I-3,GOBIERNO REGIONAL,LAMBAYEQUE,LAMBAYEQUE,ILLIMO,-79.85386833,-6.47544667
00030482,CUBAMEDIC,I-3,PRIVADO,LAMBAYEQUE,CHICLAYO,CHICLAYO,-79.8561392,-6.7705093
00027704,POLICLINICO LA FAMILIA,I-3,PRIVADO,AYACUCHO,HUAMANGA,AYACUCHO,-74.22296329,-13.16115749
00000186,C.S. I-3 SAN GABRIEL DE VARADERO,I-3,GOBIERNO REGIONAL,LORETO,ALTO AMAZONAS,BALSAPUERTO,-73.90534481,-4.5125192
00003684,CENTRO DE SALUD OCAÑA,I-3,GOBIERNO REGIONAL,AYACUCHO,LUCANAS,OCAÑA,-74.82149167,-14.39768
00026958,CALIDAD Y SALUD T&F SAC,I-3,PRIVADO,LAMBAYEQUE,CHICLAYO,CHICLAYO,-79.84197634,-6.78040129
00027082,CENTRO DE SALUD MENTAL COMUNITARIO INTERCULTURAL DATEM DEL MARAÑÓN,I-3,GOBIERNO REGIONAL,LORETO,DATEM DEL MARAÑON,BARRANCA,-76.697867,-4.8321889
00022100,CARDIO CELESTIAL,I-3,PRIVADO,AYACUCHO,HUAMANGA,AYACUCHO,-74.22355393,-13.15769935
00027731,CENTRO DE SALUD MENTALCOMUNITARIO JESUS NAZARENO- KUSKA WIÑARISUN,I-3,GOBIERNO REGIONAL,AYACUCHO,HUAMANGA,JESUS NAZARENO,-74.21378476,-13.1478868
00026042,CENTRO MEDICO OBSTETRICO MARIA FE S.A.C.,I-3,PRIVADO,LORETO,MAYNAS,IQUITOS,-73.2424638,-3.7492387
00026291,CENTRO MEDICO ESPECIALIZADO MISALUD IQUITOS S.A.C,I-3,PRIVADO,LORETO,MAYNAS,PUNCHANA,-73.25208193,-3.72674977
00029983,CENTRO MEDICO TERESA DE CALCUTA,I-3,PRIVADO,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,-79.7869714,-6.6340676
00027652,CENTRO MEDICO SAN FRANCISCO,I-3,PRIVADO,AYACUCHO,LA MAR,AYNA,-74.2235641,-13.1638737
00028081,CENTRO MEDICO ESPECIALIZADO ROMERO,I-3,PRIVADO,AYACUCHO,HUAMANGA,JESUS NAZARENO,-74.2153319,-13.1514726
00027572,CENTRO DE SALUD MENTAL COMUNITARIO - PUNCHANA,I-3,GOBIERNO REGIONAL,LORETO,MAYNAS,PUNCHANA,-73.244746,-3.737496
00028119,EL GALENO,I-3,PRIVADO,AYACUCHO,HUAMANGA,JESUS NAZARENO,-74.2257679,-13.1605503
00000060,FRANCISCO DE ORELLANA,I-3,GOBIERNO REGIONAL,LORETO,MAYNAS,LAS AMAZONAS,-72.76548514,-3.4216635
00028840,CONSULTORIOS ZAGA EIRL,I-3,PRIVADO,AYACUCHO,HUAMANGA,ANDRES AVELINO CACERES D.,-74.2003231,-13.1560699
00021081,HAPPY DENT,I-3,PRIVADO,LORETO,MAYNAS,IQUITOS,-73.248768,-3.74602613
